Publication Year,Author,Title,Url,Abstract,Keywords,Downloads
2022,Diana Pamela Villa Alvarez; Valentina Auricchio; Marzia Mortati,A case of design-enabled public policy formulation process,https://dl.designresearchsociety.org/cgi/viewcontent.cgi?article=2933&context=drs-conference-papers,"Governments are increasingly applying design practices to address public challenges. While the study of these practices evidences their utility for designing public services, the specific design activities and their value for policy formulation are rather unclear. To shed light in this direction, this paper presents a case study on the collaboration of LABgobar and SENASA in reforming the Bovine Tuberculosis regulations in Argentina. By analysing the project’s documentation and interviewing project members, this study illustrates design practices that complement traditional policy formulation processes. These practices include methods for problem understanding and reframing, idea generation, and collaborative policy prototyping. Interestingly, these adapt elements coming from multiple disciplines. Despite the potential value of design in policy formulation processes, real adoption remains tied to local -and often small scale- experiments. This paper adds further studies for a more robust understanding of design's contribution to addressing policy challenges.","policymaking, policy formulation process, design methods, public policies","1291"
2022,Jinoh Park; Damhui Kim,A case study of medicalized wellness clinic design process and result in the context of an emerging wellness service market,https://dl.designresearchsociety.org/cgi/viewcontent.cgi?article=2869&context=drs-conference-papers,"This study presents a comprehensive design process of a medicalized wellness service clinic design project aligned with the emerging wellness service market. The project designer, who has a background in design research, design management, and interior design, utilized an evidence-based design framework to integrate the intangible wellness service provision sequence into the tangible design language. In addition, the project client, who is familiar with the evidence-based medicine framework, participated in the programming and schematic design phases of the evidence-based design framework. As a result, the project designer and client implemented a medicalized wellness service space that integrates concepts of Hospitality, Hospital, and Wellness. Consequently, this study discusses a case of demonstrating the value of design through the integration of results from multi-disciplinary communication and decision-making processes in the emerging market for wellness services.","wellness, medicalized wellness service, interior design, evidence-based design","1181"
2022,Vanessa Cesário; Valentina Nisi,A co-design method for museums to engage migrant communities with cultural heritage,https://dl.designresearchsociety.org/cgi/viewcontent.cgi?article=2964&context=drs-conference-papers,"This chapter presents an experimental method designed to engage migrant participants with local cultural heritage. The initiative was part of an exploratory field study conducted in the context of the European-funded project MEMEX, a research effort promoting the social wellbeing of communities at risk of exclusion through the narration and collection of memories and stories related to cultural heritage. To engage members of such communities with the topic of cultural heritage, we deployed a two-stage intervention: a five-day photo-challenge, where participants were asked to photograph sites that they felt connected to, and a four-hour co-design workshop in which they explored the photos they had captured and co-created stories around specific sites, linking them to their memories. This chapter reflects how this process can benefit designers, individuals, and organizations in the cultural sector in capturing and reflecting on cultural heritage, engaging communities at risk of exclusion while supporting scientific and societal impact.","codesign, storytelling, photographs, method, qualitative analysis, migrant communities, cultural heritage",792
2022,Marie Van den Bergh; Mieke van der Bijl-Brouwer; Rebecca Price,A community-based learning program to improve wellbeing and design student success,https://dl.designresearchsociety.org/cgi/viewcontent.cgi?article=3083&context=drs-conference-papers,"While the Pandemic has increased awareness towards student wellbeing in higher education (HE), it also exacerbated existing challenges. Specifically, students pursuing their master graduation thesis often find themselves isolated and overwhelmed due to the individualistic nature of their project and the pressure to create a ‘masterpiece’. In this paper, we provide insight into how designing for community can positively impact thesis design students’ motivation, sense of community and wellbeing, which we identify as drivers of student success. We discuss and evaluate a community-based learning (CBL) program we designed and implemented to improve student success during the master thesis journey of 92 students at the Faculty of Industrial Design Engineering, XXXX. Our findings from the program are that; (1) facilitating connections between students generates a sense of community; (2) a customizable program supports student agency which in turn drives motivation; (3) a focus on student success instead of performance improves wellbeing.","design education, community-based learning, student wellbeing, pandemic",490
2022,Sara Lenzi; Juan Sádaba; Paolo Ciuccarelli,A designerly approach to the sonification of electric vehicles,https://dl.designresearchsociety.org/cgi/viewcontent.cgi?article=2955&context=drs-conference-papers,"In recent years, efforts to frame sound-related areas of research such as sonification, sonic interaction design and product sound design in terms of design methodologies became more common. Sound designers seem to be willing to structure a field traditionally characterised by tacit knowledge in terms of explicit design processes, tools and methods, to increase the reach and impact of the field. In this paper, we describe the first two stages of a commercial sonification project for the design of sounds for Electric Vehicles. The project was developed applying a design methodology that integrates a specific tool (the sonification canvas), which we describe in detail. We approach the creation of sounds for Electric Vehicles as a designerly endeavour with the goal of contributing to the transition of sound design from a heterogenous, practice-based field to a structured discipline that can enrich the creation of fulfilling experiences.","sound design, sonification, design methods, electric vehicles.",639
2022,Fangli Song; Wei Wang; Hongnan Lin; Yuanqing Tian,A framework for designing the seamless automotive multimodal experience in future connected and autonomous vehicles,https://dl.designresearchsociety.org/cgi/viewcontent.cgi?article=2809&context=drs-conference-papers,"As multimodal user interfaces (MUIs) significantly enrich user experience with connected and autonomous vehicles (CAVs), a seamless modality combination and multimodal switch is the key to enhancing human interaction's efficiency and usability across multiple interfaces in vehicles. From the theoretical review, we discuss the concept of seamlessness. Based on the consideration of driving automation upgrade and multi-tasking dynamics, we introduce two seamless dimensions of the new design space of multimodal user interfaces in both chronological and spatial orders. We propose a framework incorporating the design space and discuss the factors influencing the performance of multimodal seamlessness with the driving tasks constantly changing. Further, we present three design practices using this framework to illustrate the design methods. We also discuss the framework's potentials and limitations for designing the human-machine interaction in CAVs.","seamlessness, multimodal user interface, automotive human-machine-interaction",722
2022,Ziyu Zhou; Valentin Brück; Markus Holzbach,A material-centric approach in non-anthropocentric design,https://dl.designresearchsociety.org/cgi/viewcontent.cgi?article=2961&context=drs-conference-papers,"With the non-anthropocentric view, the materials—the non-human actors, can be seen as active contributors to the design process itself. Materials become carriers of a wide variety of information and reshape human and non-human relations as relational agencies. Many pioneer design activities that de-center humanity rethink the relationship among different material actors to reflect on the 'Anthropocene' issues. The approaches to designing for post-Anthropocene scenarios are usually provocative in various aspects. This paper proposes a speculative, material-centric design approach to engage discussions towards post-Anthropocene scenarios by rethinking the entanglement of human and non-human actors. This approach was used to conduct a workshop called 'Future matters'. By sharing its results, this paper aims to trigger more discussions on the en-riching roles material plays in post-anthropocentric design.","material design, material speculation, non-anthropocentric design, anthropocene.","1164"
2022,Federica Colombo; Alice Paracolli; Venanzio Arquilla,A meta-design research project to enhance the user experience of university's digital services ecosystem,https://dl.designresearchsociety.org/cgi/viewcontent.cgi?article=2993&context=drs-conference-papers,"Digitalisation is essential in contemporary institutions. Politecnico di Milano started to re-think its digital services to design an application that could help students manage every aspect of their daily university life, starting from their own goals and unmet needs, while considering the complexity of the university system. The Meta-design approach was adopted to redefine a public university's digital services, assuring the users' centrality in the research and design process. Meta-design is a circular and reflective method that enables the designer to continuously provide innovative solutions, updating the product to the ever-changing user needs. This methodology is the basis of User Experience practice. This paper demonstrates how Meta-design and its pillars - 'user research', 'market analysis', and finally 'technology investigation'- led to the ideation of an innovative and proactive concept for a mobile app where students are the protagonists.","meta-design, university digital services, human centred design, user experience",398
2022,Michael Stead; Paul Coulton,A more-than-human right-to-repair,https://dl.designresearchsociety.org/cgi/viewcontent.cgi?article=3067&context=drs-conference-papers,"Whilst the recent introduction of the Right-to-Repair to European citizens is undoubtedly a step forward in tackling planned obsolescence, and the resultant deluge of electronic product waste – the efficacy of this new legislation is reliant on consumers availing themselves of this right. Given that repairing and maintaining devices will often require specialist knowledge and skills, it is difficult to assess how effective this right may prove to be in practice. To address this concern, we draw from the expanding infusion of datafication and Artificial Intelligence into everyday products and services via the Internet of Things to consider alternative futures whereby the Right-to-Repair is granted to the device itself. Building upon More-than-Human-Centred Design approaches, we explore the potential embodiment for such a perspective and present two Speculative Designs that concretise this consideration: the Toaster for Life and The Three Rights of AI Things.","right-to-repair, more-than-human-centred design, artificial intelligence, sustainability","1157"
2022,Alazne Echaniz; Sine Celik; Pieter Ham,A participatory approach in urban development: Co-designing resilient coastal neighbourhoods,https://dl.designresearchsociety.org/cgi/viewcontent.cgi?article=2989&context=drs-conference-papers,"Urban development projects are complex processes that involve numerous stakeholders. Lately, urban design has gained a human-centred dynamic to be able to correspond to the needs and aspirations of the stakeholders that form the community. This paper proposes a participatory approach to bring the community to the centre of the design process. Through a case study conducted in the coastal areas of the Philippines, we take a closer look at how co-design can help tackle fragile living situations that emerge from challenging environmental and social conditions. First, future scenarios are co-created with residents in the form of visual summaries, boards and relationship maps. Secondly, these insights are translated into a design framework, where stakeholders can discuss and further iterate on the proposed solutions. This bottom-up approach that directly uses participants' input in identifying the essential elements of the new settlements enabled the generation of implementable design scenarios on neighbourhood scale.","codesign, participatory design, urban development & neighbourhood design","1011"
