Publication Year,Author,Title,Url,Abstract,Keywords,Downloads
2010,Sang-Duck Seo,A Case Study of an Andragogical Model in Design Education: Experiments in InteractiveTeaching and Learning in G
raphic Design Pedagogy,https://dl.designresearchsociety.org/cgi/viewcontent.cgi?article=1889&context=drs-conference-papers,"The purpose of this study is to seek an interactive pedagogical model in teaching graphic design in higher education. Malcolm Shepherd Knowles, an American adult educator, adopted the theory of ‘Andragogy’ which focused on self-directed learning theories. This author applied the ‘Andragogical Model’ to upper division design studios and addresses effective instructions and tips through case studies. In terms of the digital academic environment favored by Generation Y, educators in graphic design fields have been faced with difficulties balancing practical and theoretical disciplines for successful academic achievement. The challenge for educators caused by the digital culture is convincing students that professional jobs mostly require students to achieve multiple creative abilities. This phenomenon demonstrates the problems of giving students precise direction for academic achievement. Thus, this paper brings up questions about how we should structure design education in a digital environment, and how we define boundaries between pedagogical and andragogical models.","Design Education, Pedagogy, Andragogy",415
2010,Haeinn Lee; Ssanghee Seo,"A Comparison and Analysis of Usability Methods for Web Evaluation: The Relationship Between Typical Usability Test and Bio-Signals Characteristics (EEG, ECG)",https://dl.designresearchsociety.org/cgi/viewcontent.cgi?article=1854&context=drs-conference-papers,"A usability assessment is now widely recognized as critical to the success of interactive interface design including web design. In this paper, our research team used a variety of different biosignals such as Electroencephalogram (EEG), Electrocardiogram (ECG), and Electromyogram (EMG) to evaluate individuals’ emotional reactions to different web interface designs. At the same time, we conducted typical usability testing of the same web interface design to compare the results of these two methods, and conclude whether usability testing using biosignals is a good method to use for web evaluation.","Web Interface Design, Usability Test And Method, Eeg, Ecg, Erp, Human Bio Signals, Visual Brainwork",365
2010,Tom Barker,A Competitive Game-based Method for Brainstorming and Evaluating Early Stage Design Ideas in Terms of their Likelihood of Success in the Marketplace,https://dl.designresearchsociety.org/cgi/viewcontent.cgi?article=1787&context=drs-conference-papers,"This paper considers a game-based method for the early evaluation of design ideas in terms of the likelihood of success of the designs in the marketplace. The method was developed in the format of a multiplayer competitive team game for up to 120 participants. Known as the Marketplace Casino, it has been applied in both design education and industry. The paper reviews the evolution of the game with international play testing and refinement involving over 400 participants in Europe (UK), Asia-Pacific (Japan, Korea, China, Australia), and Africa (Ghana). The research innovation discussed in this paper relates to the combination of game play and brainstorming with a real world simulation component for evaluation, aimed at improving both the quality and ranking of outputs. The research draws on game theory, game typologies, and game research and development methods using play testing and iteration that are comprehensively described in “Rules of Play” (Salen, 2004). Effective brainstorming principles are well practised and described (Osborn, 1963) as are case studies in design brainstorming (Kelley, 2001), along with pitfalls (Sutton, 1996). Bringing a contemporary design to market can be complex and expensive. Techniques that improve the likelihood of success in the marketplace can potentially reduce the associated risk and cost. The aim of the Marketplace Casino is to link creative ideas generation to a marketplace evaluation through a simplified model (the “game”) of a complex situation (the “reality”). The format is based on play specifically to enable a non-threatening and exploratory environment for participants. The development of the game-based Marketplace Casino has focussed on product design and service design outputs. The author also considers its possible application to other disciplines in which creative output has to compete in the marketplace.","Design Management And Strategy, Brainstorming, Design Enterprise, Design Evaluation, Game Play, Design, Marketplace Simulation, Design Methodology",114
2010,Francesca Valsecchi; Paolo Ciuccarelli; Donato Ricci; Giorgio Caviglia,A Didactical Framework to Experiment the Potential of Visual Languages in Engaging Social Complexity,https://dl.designresearchsociety.org/cgi/viewcontent.cgi?article=1901&context=drs-conference-papers,"Development models often apply expert knowledge to social needs using a top-down approach, thus rendering these models insufficient in coping with the issues of a complex world. Effective changes in social systems arise from iterative and dialogic processes in which information and knowledge are exchanged between heterogeneous actors, building a common background that enables a shared hypothesis. The design approach involves the ability to select results from various disciplinary fields, activating a trans-disciplinary circulation of concepts. Designers should use their skills to facilitate the emergence of a system, rather than concentrating on finding solutions to specific and well-identified problems. The focus should be on developing tools that can be selfadaptive, continuously modifiable and improvable by utilizing the ongoing process of wicked problem transformation. Social complexity requires new processes fundamentally attuned to the social and conversational nature of decision-making and design work; these processes should enable an increasingly valuable interaction level and dialogue among the actors of a social system. And considering the Design discipline in respect to language, Communication Design could allow for the creation of visual and interactive languages relevant to the representations of Complex systems, thus creating shared visions within multiactor contexts. In this sense, communication design can facilitate dialogues within participatory actions, and verify the potential of communication artifacts in supporting and externalizing sustainable and self-adaptive learning processes. Therefore, the possibility of consciously facing social issues and orienting the behavior of complex social systems could benefit from the use of communicative tools and methodologies, thus supporting collective learning processes and building a common vision, shared by various stakeholders. Engaging complexity calls for visual languages.",,115
2010,Sven Schneider; Nancy Richter; Frank Petzold,A Matter of Negotiation: Managing Uncertainties in an Open Design Process,https://dl.designresearchsociety.org/cgi/viewcontent.cgi?article=1888&context=drs-conference-papers,"Designing is a highly collaborative and communicative process. To achieve good results effective teamwork is extremely important. Digital technology makes it possible for this process to be distributed across different spatial locations. Despite the potential of digital networks, commercial systems in the field of Computer Aided Architectural Design remain stuck in old patterns with strict role definitions and linear working processes. Open Architectural Design offers an alternative to this “sequential model” by providing an approach to distributed work oriented around “Open Strategies”. Open strategies facilitate an open exchange of ideas and artefacts with the aim of making better use of distributed resources and realising greater creative potential. The goal of our project is to apply open strategies to the architectural design process. The technical basis for our research is FREAC, a software framework developed in-house which provides a collaboration space for co-operation between different users and tools. This framework is designed not just for exchanging the outcome of the design process but also for opening up the design process itself and making it more transparent. Such highly open and distributed design processes, however, also present new problems and uncertainties which need to be taken into account in order to reach successful design outcomes. As a result proposals for the management of such processes need to be developed that facilitate collaborative work but do not unnecessarily constrain the inherent complexity of the design process. The focus therefore lies on the improvement of the negotiation process between users, tools and architectural design models. The actor-network theory, and other different management concepts, provides a theoretical underpinning for our approach. The project is a collaboration between the fields of computer science in architecture and media management.","Collaborative Design, Open Design Processes, Actor-Network Theory, Media-Management.",96
2010,Marco Quaggiotto,A New Atlas for Abstract Spaces. Visual Tools for the Exploration of Complex Contexts,https://dl.designresearchsociety.org/cgi/viewcontent.cgi?article=1879&context=drs-conference-papers,"In the tradition of research, text is the preferred solution for research and communication. The linear sequence of writing explains reality: it transforms synchronic scenes into a sequence of codes that describe it diachronically. Nonetheless, while textual representation still remains extremely useful in scientific communication, the linearity of writing is lately appearing as inadequate to the latest models of science and to the representation of current knowledge systems. In this context the language of cartography in particular seems to be fit to work as a structural model for the representation of complex systems, and Design can find in the atlas a model for the communication of complex contexts. As a tool designed to describe and act upon complex context, the atlas provides a model to strategically describe highly heterogeneous knowledge spaces. As a communication device, the atlas sets up a strategic network of images in order to achieve a set of communicative goals: maps, illustrations, graphs, and texts work together to describe and act upon space. In the first part of this paper, we examine the structure of the atlas in order to expose the mechanisms that allow actions of exploration of complex and heterogeneous contexts. In the second part of the paper, the format of the atlas is discussed in its transfer to the digital domain and in its application to knowledge contexts. The first experimental results of such an approach are displayed by presenting a software tool for the collaborative management of design knowledge resources.","Communication Design, Interface Design, Knowledge Visualization, Information Visualization, Cartography, Atlas.",191
2010,Karen Kwan,A Proposal for the Web 2.0 Revolution in Online Design Education: Opportunities for Virtual Design Learning Using Social Networking Technologies,https://dl.designresearchsociety.org/cgi/viewcontent.cgi?article=1850&context=drs-conference-papers,"New Web 2.0 tools are enabling new avenues for online communication. Social networks that have sprung up from these tools are not only the basis of information dissemination but also a means of sustained learning. Educators are now able to investigate beyond traditional teaching pedagogies and student participation roles. By exploring learning theories and the philosophies of design education, this research proposes a framework for leveraging recent innovations in social networking technologies to facilitate these values in an online environment. Unlike many other subject areas, at the center of design learning is an underlying method of inquiry and dialogue that cannot be objectively transferred to students through typical learning management systems. The growth and popularity of social networking services has created a communications space that is distinct from the confines of the physical world. By taking advantage of the rich complement of applications that comprise this alternative communication space, educators can import the reflective learning approach essential to design education.","Learning, Reflective Practices, Ict",99
2010,Debra Satterfield; Sunghyun R Kang; Nora Ladjahasan; Andrea Quam; Brytton Bjorngaard,"A Study on Design Careers and the Impact of Gender Debra Satterfield, Sunghyun R. Kang, Nora Ladjahasan,",https://dl.designresearchsociety.org/cgi/viewcontent.cgi?article=1887&context=drs-conference-papers,"Many of those entering the design workforce will at one point in time be affected by life choices. Some of these choices are welcomed, however, others are of necessity and are not reflective of personal preference. Life choices such as childcare, career advancement decisions, marriage, leaving the workforce, making a lateral career move, or becoming an attendant caregiver for an incapacitated family member are only a few examples of situations that can dramatically impact the course of a career in design fields. In addition, women and men may be affected differently by these choices. The purpose of this research is to identify the impact of gender on design careers. The methodology for this research is an online survey of university alumni. The respondents represented a variety of design disciplines. This research found a statistically significant difference in perceived impact of gender on design careers.","Design Careers, Gender, Culture, Diversity",162
2010,Robert Andruchow,A Survey of Definition and its Role in Strengthening Design Theory,https://dl.designresearchsociety.org/cgi/viewcontent.cgi?article=1783&context=drs-conference-papers,"This paper argues that an essential task for managing complexity in design is clarification of key terms within the field, and most importantly the term that defines the field itself: Design. This position rests on the argument that theory—a key tool for managing complexity in design—is weakened by ambiguous terminology, and crucially, ambiguity of the word design. Although it has been well documented that design is a highly ambiguous term and that this is problematic for the field as a whole, many designers are resigned to this fact since it is unclear how one can resolve differences of opinion about what such a central and sensitive term means. This paper argues, though, that once designers have a better understanding of the process of definition—a process that has its own complexities— they might see the benefit of trying to define design and other key terms. To this end, this paper provides an overview of definition, borrowing largely from philosophy, which includes a survey of the types and methods of definition and issues related to each. It will also explore methods and criteria by which one can evaluate various competing definitions. From this survey, I propose that designers use a stipulative and pragmatic approach to definition outlined by Edward Schiappa (2003). Schiappa’s approach is useful because of these two key underlying assumptions: first, defining design (and related terms) is not a search for the record of past usage but an act to persuade others of how to use the word in the future, therefore the person defining must provide a compelling argument for why others’ usage should be modified; second, defining design is not a search for the ‘true’ or ‘real’ meaning of a word but instead a goal-oriented process and, therefore, dependent on the context and purpose of those defining the word.","Design, Complexity, Definition, Terminology, Concept Analysis, Philosophy, Language, Ambiguity",136
2010,Alex Driver; Carlos Peralta; James Moultrie,An Exploratory Study of Scientists’ Perceptions of Design and Designers,https://dl.designresearchsociety.org/cgi/viewcontent.cgi?article=1813&context=drs-conference-papers,"As part of a wider empirical study in to the potential role of industrial design in scientific research, a series of semi-structured interviews were conducted with scientists to understand how their perceptions of design and designers might influence collaboration. This paper reports that scientists without prior experience of working with designers may be unclear as to their skills and areas of expertise, and may subsequently be missing out on collaborative opportunities. Scientists perceive a greater possible impact on applied research through engagement of professional design skills. It was revealed that design interventions could be suitable for many scientists as their range of research activities is likely to include both basic and applied research. Opportunities were identified for designers to play a role in scientific research, especially with issues relating to communication.","Collaboration, Multidisciplinary, Industrial Design, Perception",136
2010,Younjoon Lee; Martyn Evans,An Investigation into Features of Design Thinking in Fast Moving Consumer Goods Brand Development: Integration and Collaboration,https://dl.designresearchsociety.org/cgi/viewcontent.cgi?article=1856&context=drs-conference-papers,"Most companies and researchers have no doubt now that design envisages a way toward future products, services, and systems. Recently, however researchers have started to highlight ‘design thinking’ to ensure that design becomes the next competitive advantage in companies. They acknowledge that design thinking enables companies to develop differentiated products, services and systems which consumers and users need. However, there is little research which reports how design thinking can be embedded and fostered in different business contexts, especially in FMCG (Fast Moving Consumer Goods) brand development. This paper investigates what features of design thinking are employed in FMCG brand development via stakeholder interviews in three domains: agencies, companies, and retailers. This paper concludes with suggestions of how design thinking can be embraced in FMCG brand development.","Design Thinking, Brand Development, Fast Moving Consumer Goods, Design Integration, And Collaboration",202
2010,Stacie Rohrbach,"Analyzing the Appearance and Wording of Assessments: Understanding their Impact on Students’ Perception and Understanding, and Instructors’ Processes",https://dl.designresearchsociety.org/cgi/viewcontent.cgi?article=1883&context=drs-conference-papers,"In the context of a design studio, the study presented in this paper investigates the effects that appearance and wording of assessment forms have on design students’ perception and learning. The project is motivated by hypotheses formed by a prior study, which revealed visual and textual components of assessment forms as possible influences on students’ perception and learning. Thus, the goal of this project is to investigate their impact on students and offer the study findings to educators to help them better understand and construct effective assessment tools. This paper argues that the appearance and wording of assessments convey meaning and must align with the activities and discussions that are common in design courses. This argument is supported by research that emphasizes the seamless integration of all steps of the learning process (Biggs, 2003) and the importance of students’ learning preferences in developing lesson plans (Gardner, 1993). The paper explains the construction of four assessment forms. It also describes the post-evaluation self-reflections that students wrote and the questionnaire they completed at the end of the course. These project components were conducted to learn what students retained and how they perceived the assessment forms. In addition, the instructors provided their perceptions and time allocated to using each tool. The outcomes of the study revealed that the digital assessments were more efficient to complete than the handwritten form. Students noted little difference in their satisfaction between the digital and handwritten forms when the wording stayed consistent. However, they did prefer comments that were personal and related to each specific project. The students retained more information from assessments that included a clear visual hierarchy and eliminated ambiguous titles. These findings informed the proposal of visual and textual considerations that should be taken into account when creating assessment forms for use in design classrooms.","Visual Design, Rubrics, Assessment, Evaluation, Pedagogy, Education, Learning, Feedback",142
2010,Susann Vihma,Approach for Designing Elderly Care Homes,https://dl.designresearchsociety.org/cgi/viewcontent.cgi?article=1904&context=drs-conference-papers,"Most research has been unable to combine organisation, management and design studies. This seems a major shortcoming when looking at elderly care homes, because well-being in these institutions depends on all three approaches. Hence the aim of our research is to produce new knowledge on the interdependence of the three aspects. Special emphasis is put on planning processes. Numerous new buildings for the elderly will be planned in coming years and, at the same time, renovations of old buildings will be carried out. We will especially look at the design objectives for these undertakings. This paper is about a work in progress by a team consisting of researchers and doctoral students in organisational and management studies at the University of Eastern Finland and design research at the Aalto University School of Art and Design. The four-year project started in 2009 and is funded by the Academy of Finland. Already in the early phase, the multidisciplinary team has produced inspiring new ideas. One of the research methods has been to use photographic documentation of municipal and private elderly care homes. During visits to cares homes in North Karelia, systematic documentation was created. Selected photographs were, then, discussed by six focus groups representing various stakeholders. This research material, experiences and documentation of visits and sessions, was used to describe and analyse conditions and concrete product environments, in order to lead to better understanding, planning and organisation in the future. In this paper, the concept of homeliness is examined from a design point of view and as a part of well-being, based on empirical data and literature.","Elderly Care Home, Design, Organization, Homeliness, Well-Being",176
