Number,Reference,Name,Text Content,Document,Codes,Number of Codes,Comment,Start position,End position,Extent,Creator,Creation Date,Modifier,Modification Date
1:1,p 2,,Designing Six Dimensions of Intercultural Teamwork: A next-gen challenge in co-creation processes,Designing Six Dimensions of Intercultural Teamwork_ A next-gen ch.pdf,Paper Reflection: Comment,1,"this paper talks about design process and improving collaboration - they define a ""framework""  - co-creation is a trending idea at DRS,",2,2,1,Angela Rout,10/16/25,Angela Rout,10/16/25
1:2,p 2,,"Six Dimensions of Intercultural Teamwork, a new framework to help teammates understand various differences such as how they build trust, exchange information, and cope with creative abrasion.",Designing Six Dimensions of Intercultural Teamwork_ A next-gen ch.pdf,Contribution: Methodological: Societal,1,"they call a co-design method a ""framework""",2,2,1,Angela Rout,10/16/25,Angela Rout,10/16/25
1:3,p 3,,"The study responds to this challenge by proposing a framework to address common issues for all types of teams, regardless of the relative diversity of their membership. ",Designing Six Dimensions of Intercultural Teamwork_ A next-gen ch.pdf,Contribution: Methodological: Societal,1,somehow suggests that a new framework for co-deisgn can address big problems l,3,3,1,Angela Rout,10/16/25,Angela Rout,10/16/25
1:4,p 4,,Six Dimensions of Intercultural Teamwork,Designing Six Dimensions of Intercultural Teamwork_ A next-gen ch.pdf,Transitions: Legitimize Design (Scientific),1,giving a process a name seems to package it for people outside design,4,4,1,Angela Rout,10/16/25,Angela Rout,10/16/25
1:5,p 5,,"Table 1 The Six Dimensions of Intercultural Teamwork, described in relationship to the design process and the revised Bloom’s Taxonomy of Educational Objectives.",Designing Six Dimensions of Intercultural Teamwork_ A next-gen ch.pdf,Transitions: Academic Community,1,making a table makes the output easy to find and reuse by other researchers,5,5,1,Angela Rout,10/16/25,Angela Rout,10/16/25
1:6,p 10,,grounded theory analysis of observational and survey data.,Designing Six Dimensions of Intercultural Teamwork_ A next-gen ch.pdf,Research Method: Quantitative: Survey/Questionnaire,1,,10,10,1,Angela Rout,10/16/25,Angela Rout,10/16/25
1:7,p 11,,"grounded theory approach in order to understand the efficacy of visual thinking activities in the relationships, working processes, and outcomes of intercultural design collaborations in higher education.",Designing Six Dimensions of Intercultural Teamwork_ A next-gen ch.pdf,Research Method: Qualitative: Content Analysis,1,"multi-media and mixed methods, over a long peroiod of time",11,11,1,Angela Rout,10/16/25,Angela Rout,10/16/25
1:8,p 11,,study began with interviews and survey data collected from a purposive sample of 20 communication design faculty and professionals,Designing Six Dimensions of Intercultural Teamwork_ A next-gen ch.pdf,Research Method: Quantitative: Survey/Questionnaire,1,,11,11,1,Angela Rout,10/16/25,Angela Rout,10/16/25
1:9,p 13,,Convergent frameworks: The Six Dimensions of Intercultural Teamwork combine ideas from learning theory with the design process to support teams of diverse collaborator,Designing Six Dimensions of Intercultural Teamwork_ A next-gen ch.pdf,Transitions: Legitimize Design (Scientific),1,by using a chart or diagram it looks more concrete,13,13,1,Angela Rout,10/16/25,Angela Rout,10/16/25
1:10,p 13,,Teamthink Constellation.,Designing Six Dimensions of Intercultural Teamwork_ A next-gen ch.pdf,Transitions: Legitimize Design (Scientific),1,catchy phrases,13,13,1,Angela Rout,10/16/25,Angela Rout,10/16/25
1:11,p 17,,"gure 4 Understand Core Beliefs: Outcomes. In this example scattergram, Understand Core Beliefs, each team used a different colour sticky note to plot themselves and each other relative to the two axes. The de",Designing Six Dimensions of Intercultural Teamwork_ A next-gen ch.pdf,Transitions: Legitimize Design (Scientific),1,"including little figures that are an example of ""what to do"" gives a sort of tool kit feel or replicatability for others. That said - would people actually do this? I dont know...",17,17,1,Angela Rout,10/16/25,Angela Rout,10/16/25
2:1,p 2,,This work is licensed under a Creative Commons Attribution-NonCommercial 4.0 International Licence. (Anti)dialogical reflection cards: politicizing design education through Paulo Freire's critical pedagogy,(anti)dialogical reflection cards_ Politicizing design education.pdf,Paper Reflection: Comment,1,"this contributes an educational tool (cards) but it seems to be more a in depth study of one specific thesis and idea - also historical. They made little cards, as a way to package the knowledge and be able to publish it",2,2,1,Angela Rout,10/16/25,Angela Rout,10/17/25
2:2,p 2,,"Freire helps us reflect on why and for whom we design and provokes us to question design processes as anti-dialogic, reinforcing oppressions; or dialogic, promoting alliances with the oppressed in the struggle to overcome oppressive situations.",(anti)dialogical reflection cards_ Politicizing design education.pdf,Transitions: Legitimize Design (Scientific),1,big ideas but somehow packaged as a set of cards for education,2,2,1,Angela Rout,10/16/25,Angela Rout,10/16/25
2:3,p 2,, propose an educational material composed of 16 reflective cards based on Freire's critical pedagogy,(anti)dialogical reflection cards_ Politicizing design education.pdf,Contribution: Methodological: Design,1,educational cards,2,2,1,Angela Rout,10/16/25,Angela Rout,10/17/25
2:4,p 4,,"What lies behind this pedagogy is the perception of the existence of an unjust, unequal, and oppressive world. For Freire (1970), our ontological vocation is humanization, a process that leads us to ser mais (being more), beings that can live for themselves and not for others, historical and autobiographical beings, free to transform and develop themselves precisely because of our incompleteness. As Leitão (2020, p. 5) states, this is also the drive that should lead us to project the world and transform it through Design:",(anti)dialogical reflection cards_ Politicizing design education.pdf,Transitions: Academic Community,1,"here, they have the platform to share about a historical figure, big ideas and some national history to create connections. they use the introduction for this - even though it is structured as a scienctific paper",4,4,1,Angela Rout,10/16/25,Angela Rout,10/16/25
2:5,p 11,,"Based on the concepts presented above, and on the text defined for each of the cards, the educational material was developed. In this topic we discuss its purpose and pedagogical objectives, the visual choices for composing the cards, and some suggestions for use2.",(anti)dialogical reflection cards_ Politicizing design education.pdf,Contribution: Practical/Applied: Object,1,"In a wya the main contribution is a product (cards with themes) there is little actual research here - they dont evaluate the cards, instead the research is more presented in the introduction as a historical account of a single figure",11,11,1,Angela Rout,10/16/25,Angela Rout,10/16/25
2:6,p 14,,"The anti-dialogic letters are composed of Helvetica typography, an icon of Modernism and the ideology of universal, minimalist, neutral, and functionalist design (Hustwit, 2007). This conception of design claims that its principles constitute a simple language, accessible to all and devoid of cultural specificities or expressions that hinder its use (Gruszynski, 2001).",(anti)dialogical reflection cards_ Politicizing design education.pdf,Transitions: Legitimize Design (Scientific),1,by explaining the visual and graphic elements it legitimises design in a more tangential way - they make the design of the cards important to the description,14,14,1,Angela Rout,10/16/25,Angela Rout,10/16/25
2:7,p 15,,Suggestions for use,(anti)dialogical reflection cards_ Politicizing design education.pdf,Transitions: Academic Community,1,making it easy to use the cards they build (hopefully) a community - they have suggestions here,15,15,1,Angela Rout,10/16/25,Angela Rout,10/16/25
2:8,p 16,,"The cards were first developed for an activity of the Designs of the Oppressed Course, which was promoted by the Design & Oppression Network and offered in English by Brazilian researchers to the international community. ",(anti)dialogical reflection cards_ Politicizing design education.pdf,Transitions: Legitimize Design (Scientific),1,even though there are no formal research methods they do report on how people responded to the cards. I wonder how ethical this was - did they use HREC?,16,16,1,Angela Rout,10/16/25,Angela Rout,10/16/25
3:1,p 2,,Making-with the environment through More-than- Human design,Making-with the environment through more-than-human design.pdf,Paper Reflection: Comment,1,"this is not really a research paper - more a position paper, the contribution is hard to determine, other than building conversation, dialogue and new ideas.",2,2,1,Angela Rout,10/16/25,Angela Rout,10/16/25
3:2,p 2,,This article explores dif- ferent perspectives for post-anthropocentric design approaches and focuses on how design can approach the notion more-than-human as an intruder to human-centered design.,Making-with the environment through more-than-human design.pdf,Contribution: Theoretical: Opinion,1,not really a full argument but a theoretical position,2,2,1,Angela Rout,10/16/25,Angela Rout,10/16/25
3:3,p 4,,"This paper consists of a literature review,",Making-with the environment through more-than-human design.pdf,Contribution: Summative/Integrative: Literature Review,1,they say here the contribution is a literature review,4,4,1,Angela Rout,10/16/25,Angela Rout,10/16/25
3:4,p 4,,"A literature search was made for articles containing design approaches, that involve key- words “nonhuman”, “posthuman”, “more-than-human”, “non-anthropocentric”, and “other- than-human”. Review for the design discussion part started from the Design and Applied Arts database, Google Scholar. ",Making-with the environment through more-than-human design.pdf,Contribution: Summative/Integrative: Literature Review,1,methods are shown here with search terms for replicability,4,4,1,Angela Rout,10/16/25,Angela Rout,10/16/25
3:5,p 5,,"keywords are categorized according to the term they use into relevant groups, such as technology, production technique and environment. Related approaches from nonhuman actors, taking environment/nature as key concepts include: ",Making-with the environment through more-than-human design.pdf,Transitions: Legitimize Design (Scientific),1,word cloud make a literature review and fairly humanities oriented topic and framing into something that appears more research oriented or replicatable,5,5,1,Angela Rout,10/16/25,Angela Rout,10/16/25
3:6,p 6,,"Figure 2. A graphical interpretation hard core of theories by Imre Lakatos, proposed by Thomsen & Botin (2014, p. 7), which is inspired by a figure of Martina Keitsch ",Making-with the environment through more-than-human design.pdf,Transitions: Legitimize Design (Scientific),1,graphics and diagrams help people understand ideas quickly - good for skimming,6,6,1,Angela Rout,10/16/25,Angela Rout,10/16/25
3:7,p 8,,Nonhumans in Related Theories of Posthumanism,Making-with the environment through more-than-human design.pdf,Transitions: Legitimize Design (Scientific),1,relating to well-known philosophical terms and histories,8,8,1,Angela Rout,10/16/25,Angela Rout,10/16/25
3:8,p 9,,How “nonhuman” is approached in rational and traditional knowledge: The figure describes the distinction between approaches and exemplifies that traditional knowledge can be used further to understand nonhumans,Making-with the environment through more-than-human design.pdf,Transitions: Academic Community,1,still I find the use of figures really interesting especially when the topic is really quite fluid and non-positivist,9,9,1,Angela Rout,10/16/25,Angela Rout,10/16/25
3:9,p 11,,"Similarly, in this article, the proposed case study involves making-with the environment, through a processed wool material, and several trials in an outdoor environment. ",Making-with the environment through more-than-human design.pdf,Research Method: Qualitative: Case Studies,1,oh! they add a case study here - which isn't mentioned in the abstract. maybe not a main contribution but also seems to try to legitimise the work?,11,11,1,Angela Rout,10/16/25,Angela Rout,10/16/25
3:10,p 12,,"igure 7. An experiment of making-with the environment (Trondheim, May 2021)",Making-with the environment through more-than-human design.pdf,Transitions: Legitimize Design (Scientific),1,"OK wow this paper really tries to make craft and non-scientific methods more legitimate using well established norms - a ""case study"" figures, images, ""experiment""...",12,12,1,Angela Rout,10/16/25,Angela Rout,10/16/25
3:11,p 13,, Reflective diaries on wool types and merging traditional knowledge with woo,Making-with the environment through more-than-human design.pdf,Transitions: Academic Community,1,I like the photos of the drawings and hand sketches. again a contrast between the art practice and the format of the scientific paper (which is quite ugly),13,13,1,Angela Rout,10/16/25,Angela Rout,10/16/25
3:12,p 15,,Table 1. Approach examples for design. Approaches Keywords in design Examples and Future Opportunities for Design Studies ,Making-with the environment through more-than-human design.pdf,Transitions: Legitimize Design (Scientific),1,tables help legitimise design for sure - knowledge becomes tangible and organised!,15,15,1,Angela Rout,10/16/25,Angela Rout,10/16/25
4:1,p 2,,"Biodesign for a culture of life: Of microbes, ethics, and desig",Biodesign for a culture of life_ Of microbes ethics and design.pdf,Paper Reflection: Comment,1,"Quite a humanistic paper for the topic, it is a positions piece, with less structure or methods than most scientific approaches",2,2,1,Angela Rout,10/16/25,Angela Rout,10/16/25
4:2,p 2,,"This paper asks what it means to dwell and design in such times and proposes an ethics for biodesign: which employs the insights and tools of the biotechnological age to generate new, ecologically beneficial forms of design,",Biodesign for a culture of life_ Of microbes ethics and design.pdf,Contribution: Theoretical: Opinion,1,asks a question then explores it conceptually,2,2,1,Angela Rout,10/16/25,Angela Rout,10/16/25
4:3,p 4,,In the Beginning,Biodesign for a culture of life_ Of microbes ethics and design.pdf,Transitions: Legitimize Design (Scientific),1,the introduction shares history of micro-organisms in a scientific way.,4,4,1,Angela Rout,10/16/25,Angela Rout,10/16/25
4:4,p 6,,"4. Biodesign for a culture of life Using the substrate of “life,” biodesign raises important ethical concerns as if living agents are to perform properly, then they must be appropriately supported. This invites designers to step inside the skin of the entities they are designing with as living beings and adopt a more-than-human perspective, decentring their human contribution in the process. This is not devaluing a person but giving equal attention and status to the nonhuman agents in the design process. Altering the status of the design “substrate” means that design protocols, which are typically modelled on an exploitative industrial approach, must change accordingly and an appropriate design process implemented.",Biodesign for a culture of life_ Of microbes ethics and design.pdf,Transitions: Academic Community,1,"I am intersted in the topic, so it creates a community with me :) I wonder though about this approach and this format for sharing this kind of research.",6,6,1,Angela Rout,10/16/25,Angela Rout,10/16/25
4:5,p 6,,"I will now discuss three case studies involving microbes (Living Architecture, Active Living Infrastructure: Controlled Environment (ALICE); the Immunological City (IM-CITY)), each of which invites further reflection on the ethical concerns and approaches that compris",Biodesign for a culture of life_ Of microbes ethics and design.pdf,Research Method: Qualitative: Case Studies,1,they discuss three examples - this is their way of maing the topic more legitimate and fit into a research context,6,6,1,Angela Rout,10/16/25,Angela Rout,10/16/25
4:6,p 7,,"Living Architecture Microbes provide unique challenges for design through their innate livingness (Karana, Barati & Giaccardi, 2020, p37) with real agency and dynamc interactional possibilities (informatic, biological, chemical) that are environmentally responsive (physical conditions, contexts, interactions) and raise complex design challenges in relation to how they should be approached and engaged. ",Biodesign for a culture of life_ Of microbes ethics and design.pdf,Transitions: Academic Community,1,well I am interested in this!!,7,7,1,Angela Rout,10/16/25,Angela Rout,10/16/25
4:7,p 10,,"Figure 3. Living Architecture “wall” of “living bricks”, courtesy of the Living Architecture project 2019",Biodesign for a culture of life_ Of microbes ethics and design.pdf,Transitions: Academic Community,1,"Interesting that they share projects by others here - usually people share their own work but since it is a ""case study"" they discuss other people's projects...",10,10,1,Angela Rout,10/16/25,Angela Rout,10/16/25
4:8,p 13,,The language here is designed by data artist Julie Freeman from Translating Nature into notations of microbial activity in ways that intersect with the capabilities of the digital platform,Biodesign for a culture of life_ Of microbes ethics and design.pdf,Transitions: Academic Community,1,"here is a nice visualisation and I think it is an interesting approach to share others work in the paper, you bring attention to projects",13,13,1,Angela Rout,10/16/25,Angela Rout,10/16/25
4:9,p 17,,"For the designer, a microbial ethics invites their engagement in a ‘worlding’6 process that is facilitated through new materials, approaches, platforms, and practices through a designed symbiosis with microbes—the most powerful world-making agents we know. Constituting a new platform and attitude for experimentation in biodesign, such worlding experiments (Hughes and Armstrong, 2021) are fundamentally integrative, supporting multiple forms of knowing, which are not exclusively human and actively re-engage with the material realm. Critically exploring the (re)enlivening of matter, biodesign practices produce material artefacts, enlive",Biodesign for a culture of life_ Of microbes ethics and design.pdf,Transitions: Legitimize Design (Scientific),1,this seems important - to have a paragraph to state why this is important for the designer. It also builds community,17,17,1,Angela Rout,10/16/25,Angela Rout,10/16/25
5:1,p 2,,A Case Study to Explore Applicability of Creating Shared Value (CSV) into Design Practice,A Case Study to Explore Applicability of Creating Shared Value (C.pdf,Paper Reflection: Comment,1,"Creating Shared Value is a method for design innovation management, and is explored through 1 case study.",2,2,1,Michael Tjia,10/27/25,Michael Tjia,10/27/25
5:2,p 3,,"These three tasks aims to explore the applicability of creating shared value, a business theory, in a design project.",A Case Study to Explore Applicability of Creating Shared Value (C.pdf,Transitions: Legitimize Design (Scientific),1,Exploring the applicability of a business theory in a design context.,3,3,1,Michael Tjia,10/27/25,Michael Tjia,10/27/25
5:3,p 4,,"This section provides an understanding of the definitions, purposes, and significance of creating shared value according to Porter and Kramer (2011) and other scholarly reviews.",A Case Study to Explore Applicability of Creating Shared Value (C.pdf,Contribution: Summative/Integrative: Literature Review,1,Review of sources that define the business concept creating shared value (csv),4,4,1,Michael Tjia,10/27/25,Michael Tjia,10/27/25
5:4,p 5,,"While previous section focused on meanings of CSV, this section introduces three theoretical frameworks: ‘three-level method of CSV,’ ‘five Criteria of CSV,’ and ‘four-step CSV process.’",A Case Study to Explore Applicability of Creating Shared Value (C.pdf,Contribution: Theoretical: Conceptual Framework,1,Authors provide 3 frameworks,5,5,1,Michael Tjia,10/27/25,Michael Tjia,10/27/25
5:5,p 7,,"The selected case is a collaborative new product development (NPD) project that involves three independent parties that include a design consultancy, a MNC, and a social business. ",A Case Study to Explore Applicability of Creating Shared Value (C.pdf,Research Method: Qualitative: Case Studies,1,using aforementioned lit. review and following frameworks in a case study,7,7,1,Michael Tjia,10/27/25,Michael Tjia,10/27/25
5:6,p 11,,"Neither the four-step process map, three-level framework, or five CSV criteria showed how to trigger and achieve the process. Future study should investigate what design factors expedite successful outcomes and what designers’ roles should be as actors, “enablers,” who generate new type of value, or “form-forgivers,” who add or enhance value on top of existing value, for this kind of NPD project ",A Case Study to Explore Applicability of Creating Shared Value (C.pdf,Contribution: Theoretical: Opinion,1,recommendations,11,11,1,Michael Tjia,10/27/25,Michael Tjia,10/27/25
6:1,p 2,,An LLMs-augmented morphological analysis approach for conceptual design,A LLM-augmented Morphological Analysis Approach for Conceptual De.pdf,Paper Reflection: Comment,1,"sort of standard study for a user evaluation of an LLM tool. They define the design process, and which stages their tool could impact, then they test their proposal with users, they do a user study with some quantitative metrics, a questionnaire and a survey. I am always suspicious of these ""positive feedback"" results because they have such a challenge with self-selection in the sample, but the presentation of the tool and methods is nice",2,2,1,Angela Rout,10/27/25,Angela Rout,10/27/25
6:2,p 2,,"we propose an LLMs-augmented morphological analysis approach for concep- tual design. We refine the design process as three main stages: decomposition, gener- ation, and combination, offering targeted guidance and support to designers when ap- plying morphological analysis. In addition, we introduced a feedback mechanism to develop more appropriate solutions to specific problems.",A LLM-augmented Morphological Analysis Approach for Conceptual De.pdf,Contribution: Methodological : Software,1,this is a method to use LLM in the design process,2,2,1,Angela Rout,10/27/25,Angela Rout,10/27/25
6:3,p 4,,The effectiveness of the proposed approach in improving the quality of concep- tual design and reducing the cognitive burden on designers is fully confirmed through user experiments and evaluations.,A LLM-augmented Morphological Analysis Approach for Conceptual De.pdf,Transitions: Digital Tech Connections,1,user study of a new tech for design - they first outline the design process in a more systematic way so that they can identify moments for the new tech,4,4,1,Angela Rout,10/27/25,Angela Rout,10/27/25
6:4,p 8,,we organized a comparative experiment and chose the most representative GPT-4 as the large language model for this experiment. ,A LLM-augmented Morphological Analysis Approach for Conceptual De.pdf,Research Method: Quantitative: Experimental Research,1,i am not sure but it looks like they did a quantiative user study,8,8,1,Angela Rout,10/27/25,Angela Rout,10/27/25
6:5,p 9,,"After the experiment, participants completed a post-task questionnaire, which included NASA-TLX (Hart, 2006), and design process-related questions",A LLM-augmented Morphological Analysis Approach for Conceptual De.pdf,Research Method: Quantitative: Survey/Questionnaire,1,the quantaitive method included a questionnaire,9,9,1,Angela Rout,10/27/25,Angela Rout,10/27/25
6:6,p 9,,A semi-structured interview was conducted to understand their experience,A LLM-augmented Morphological Analysis Approach for Conceptual De.pdf,Research Method: Qualitative: Interviews,1,also a post-study interview,9,9,1,Angela Rout,10/27/25,Angela Rout,10/27/25
7:1,p 2,,Advancing design with generative AI: A Case of Automotive Design Process Transformation,Advancing Design With Generative AI_ A Case of Automotive Design.pdf,Paper Reflection: Comment,1,"a fairly standard technology integration paper - and quite relevant to architecture. The difficulty i have is determining the contribution. They do a user study to determined pain points, designed an AI, applied it and then evaluated it. This is standard format for tool/user research",2,2,1,Angela Rout,10/17/25,Angela Rout,10/17/25
7:2,p 2,,"We trained three models in different styles based on Stable Diffu- sion: abstract form, digital painting, and realistic rendering, and integrated them into the design workflow for practical automotive design. Performance evaluations and user studies indicate that our auxiliary models ",Advancing Design With Generative AI_ A Case of Automotive Design.pdf,Contribution: Methodological: Design,1,"difficult to tell the contribution - a tool, a model? a method to integrate AI in design? A user study?",2,2,1,Angela Rout,10/17/25,Angela Rout,10/17/25
7:3,p 2,,"As AI technology rapidly advances, generative AI has emerged as a prominent and promising innovation, showcasing significant capabilities and diverse potential applications",Advancing Design With Generative AI_ A Case of Automotive Design.pdf,Transitions: Digital Tech Connections,1,This paper is definately focused on helping designers integrate with new technologies. It takes a positivist position on technology - as a way to solve problems,2,2,1,Angela Rout,10/17/25,Angela Rout,10/17/25
7:4,p 3,,"This research demonstrates a process for integrating generative AI into design from a practical perspective,",Advancing Design With Generative AI_ A Case of Automotive Design.pdf,Contribution: Methodological: Design,1,"Yes here they way the research ""Demostrates a process""",3,3,1,Angela Rout,10/17/25,Angela Rout,10/17/25
7:5,p 5,,"Therefore, AI's involvement in the automotive de- sign process is limited, with a restricted range of applicable scenarios, primarily suited for tasks with strong logical requirements and lower creativity. Whether it is enhancing design quality or improving design efficiency, designers need to play a more active role in continu- ously enhancing the technology's effectiveness by leveraging their expertise and skills",Advancing Design With Generative AI_ A Case of Automotive Design.pdf,Transitions: Digital Tech Connections,1,Here they talk quite openly about how they think designers should relate to AI in design - not just as a way to solve logical tasks but for creativity.,5,5,1,Angela Rout,10/17/25,Angela Rout,10/17/25
7:6,p 5,,"ial intelligence model designed for text-to-image generation, de- veloped by Stability AI in August 2022. This model has the capability to produce images that correspond to input text prompts.",Advancing Design With Generative AI_ A Case of Automotive Design.pdf,Transitions: Digital Tech Connections,1,THey dedicate sections to explaining AI models (eg stable diffusion) This is quite common knowledge but is probably important here as many people in the less technical fields may need more information,5,5,1,Angela Rout,10/17/25,Angela Rout,10/17/25
7:7,p 6,,"To gain a deeper understanding of the supportive role of generative AI in car design, we ex- tracted 246 prompts from a pool of 1582 keyword-based image prompts associated with ""car"" and ""vehicle.""",Advancing Design With Generative AI_ A Case of Automotive Design.pdf,Transitions: Digital Tech Connections,1,"This is interesting - they did a ""prompt"" search to learn how designers use AI. They call it ""user"" research, but don't include people at all. Looks like the data resources are available through Stable Diffusion",6,6,1,Angela Rout,10/17/25,Angela Rout,10/17/25
7:8,p 7,,"or this test, we invited 10 participants, comprising 6 males and 4 females, with ages ranging from 23 to 28 years. The participants had between 1 to 5 years of experience in automotive design and 1 to 6 months of experience using AIGC tools. The fundamental information about each participant is detailed in Table 1.",Advancing Design With Generative AI_ A Case of Automotive Design.pdf,Research Method: Qualitative: Focus Groups/Workshops,1,They did an expert focus group to evaluate the different stable diffusion prompts. this is a super interesting process and we could do this here with architects,7,7,1,Angela Rout,10/17/25,Angela Rout,10/17/25
7:9,p 7,,"We utilized the Stable Diffusion model to generate images, maintaining a constant set of input parameters while using 'BMW car in the city' as a content prompt. In total, 246 experimental images were generated, each accompanied by a unique descriptive prompt. This was done to assess the pre-trained model's semantic understanding of prompts and its image-generation capabilities. Participants employed a 7-point Likert scale to subjectively evaluate three aspects: 1. Identifying the category of the descriptive prompt used for each image. 2. Rating the image quality of each generated image. 3. Rating the presentation of the prompt words within each image.",Advancing Design With Generative AI_ A Case of Automotive Design.pdf,Research Method: Qualitative: Focus Groups/Workshops,1,interesting method - using experts to examine outputs of AI models.,7,7,1,Angela Rout,10/17/25,Angela Rout,10/17/25
7:10,p 8,," on the data presented in the table, it is evident that the average accuracy in cate- gorizing the primary categories is 45.02%, whereas the average accuracy in categorizing the subcategories stands at 21.63%.",Advancing Design With Generative AI_ A Case of Automotive Design.pdf,"Research Method: Quantitative: Survey/Questionnaire, Transitions: Legitimize Design (Scientific)",2,they take the codes from a qualitative study and then give us averages (this is not really good science) but its a way to make something very biased and intuitive feel scientific,8,8,1,Angela Rout,10/17/25,Angela Rout,10/17/25
7:11,p 9,,we conducted a deconstruction of the au- tomotive conceptual design workflow through a group interview.,Advancing Design With Generative AI_ A Case of Automotive Design.pdf,Research Method: Qualitative: Interviews,1,discovered the designers workflow through an interview,9,9,1,Angela Rout,10/17/25,Angela Rout,10/17/25
7:12,p 9,,"Moreover, the group interview collected a total of 164 images of automotive designs, which were categorized into three types based on content and style: 24 sketches, 72 digital paint- ings, and 68 realistic renderings. Consequently, the group interview further subdivided the concept generation process into three stages: concept ideation, concept refinement, and concept presentation (Figure 3). In the concept ideation stage, designers are tasked with generating a wide range of design inspirations and ideas. ",Advancing Design With Generative AI_ A Case of Automotive Design.pdf,Research Method: Qualitative: Interviews,1,this group interview did many steps of the research. They were able to accomplish a lot in this one interview,9,9,1,Angela Rout,10/17/25,Angela Rout,10/17/25
7:13,p 11,,"he prompts included were ""abstract form, white background, sense of [prompt1], [prompt2], by Zaha Hadid,""",Advancing Design With Generative AI_ A Case of Automotive Design.pdf,Research Method: Qualitative: Interviews,1,haha they included Zaha Hadid in their prompt for weird shapes,11,11,1,Angela Rout,10/17/25,Angela Rout,10/17/25
7:14,p 14,,"we invited 10 participants to provide image quality and suitability ratings for 10 abstract form images in Figure 8. Additionally, they rated the image quality of 10 digital paintings and 10 renderings in Figure 8, employing a 7-point Likert scale for quantification. ",Advancing Design With Generative AI_ A Case of Automotive Design.pdf,Research Method: Quantitative: Survey/Questionnaire,1,an final part of the process - an evaluation. 10 users to test the models by providing an image quality rating,14,14,1,Angela Rout,10/17/25,Angela Rout,10/17/25
7:15,p 15,,"We used 5 hand-drawn automotive sketches as input, em- ploying the P2 model as the generating model. We applied the text-to-image and Con- trolNet to convert the provided hand-drawn sketches into 5 digital painting images. These digital paintings were subsequently used as input for the P3 model, where we again utilized text-to-image and ControlNet to transform them into 5 realistic rendering images. Participants were asked to rate 10 style transfer images using a 7-point Likert scale for quantification.",Advancing Design With Generative AI_ A Case of Automotive Design.pdf,Transitions: Digital Tech Connections,1,throughout the paper they not only present the results of the study but also share the technology. It is not exactly an output but it gives other researchers a way to use or learn about tech in design,15,15,1,Angela Rout,10/17/25,Angela Rout,10/17/25
7:16,p 16,,"design process, we invited 6 de- signers and assigned them the task of independently completing the same automotive exterior conceptual design project within a week. Participants were randomly divided into two groups, each comprising three designers.",Advancing Design With Generative AI_ A Case of Automotive Design.pdf,Research Method: Qualitative: Interviews,1,wow I think this is the fourth set of interviews they did for this one study! this is a group of 6.,16,16,1,Angela Rout,10/17/25,Angela Rout,10/17/25
7:17,p 17,,"In summary, when compared to the traditional design process, generative AI-assisted design exhibits notable advantages in three aspects:",Advancing Design With Generative AI_ A Case of Automotive Design.pdf,Contribution: Methodological : Software,1,"even though they dont exactly present a software, I think they kind of do. They provide a bunch of AI approaches and improved models, and they also found that these tools improved design outcomes",17,17,1,Angela Rout,10/17/25,Angela Rout,10/17/25
8:1,p 2,,"AI-designed creative products: Consumption, creativity, and consumer value",AI-designed Creative Products_ Consumption creativity and consu.pdf,Paper Reflection: Comment,1,"submission discusses 2 studies about the perception of AI in ""creative products"" with significant quantity of participants. method is described in article but not in abstract and is more interesting than the outcome.",2,2,1,Michael Tjia,10/20/25,Michael Tjia,10/20/25
8:2,p 3,,2. Literature review and theoretical foundation,AI-designed Creative Products_ Consumption creativity and consu.pdf,Contribution: Summative/Integrative: Literature Review,1,"lit. review on ""human repsonse to AI design"" and ""consumption values""",3,3,1,Michael Tjia,10/20/25,Michael Tjia,10/20/25
8:3,p 8,,"4.2. Sample and procedures The CPs that we chose to test in this study is “shirts”, “notebook”, and “mouse pad” for three reasons: (1) fashion products are driven mainly by aesthetics and customers’ hedonic tendencies, which consistent with the features of CPs; (2) mouse pads and notebooks are the most familiar creative products to Chinese consumers; and (3) both men and women, adult and child purchase them, a fact which enables us to consider the preferences of both consumer segments, as shown in Figure 3. An anonymous online survey was conducted to collect data. Online respondents were re- cruited through Baidu’s Data Crowd Sourcing Platform, with more than 17,000,000 respond- ents in its sample database covering 300 cities in China (Tan et al., 2022)",AI-designed Creative Products_ Consumption creativity and consu.pdf,Contribution: Methodological: Research,1,"not mentioned in the abstract but IMO most interesting about this submission is the (automated?) research method, employing task workers to survey AI generated content.",8,8,1,Michael Tjia,10/20/25,Angela Rout,10/23/25
8:4,p 15,,"ur study first demonstrated consumer' positive attitude towards AI participation in CPs de- sign. Unlike people’s attitude towards AI-generated art (Moura & Maw, 2021; Shank et al., 2022), people do not have significant negative bias towards AI design. ",AI-designed Creative Products_ Consumption creativity and consu.pdf,Contribution: Empirical: Society,1,"authors demonstrate no ""significant bias towards AI design"" as proposed",15,15,1,Michael Tjia,10/20/25,Michael Tjia,10/20/25
