Publication Year,Author,Title,Url,Abstract,Keywords
2024,Renxuan Liu; Duan Wu,A bottom-up transformation: Design empowering chronic disease management types and strategies,https://dl.designresearchsociety.org/cgi/viewcontent.cgi?article=3268&context=drs-conference-papers,"As the population ages, chronic disease management (CDM) has become a challenge for current public health services. Previously, designing for patients with chronic diseases often saw them as passive objects of design, hindering their agency. Understanding patients' agency is very important for health management, but the empowerment approach in the health field is often a disguised paternalism. This study aims to use the empowerment theory to reframe the possibility of the design empowering CDM and propose corresponding means of empowerment. We identified four types of design empowerment in CDM and articulated specific empowerment strategies through case studies. Our study therefore enriches the theoretical landscape regarding the role of design empowerment within CDM, offering insights for amplifying the voice of design at the crossroads of empowerment and CDM.",empowerment; design empowerment; chronic disease management
2024,Yeup Hur; Liz van der Jagt; Geert Boer; Tyana Hendriksma; Els van Raaij; Panos Markopoulos,A case study into the role of bodily expertise in somatic design ideation,https://dl.designresearchsociety.org/cgi/viewcontent.cgi?article=3519&context=drs-conference-papers,"Research in tangible and embodied interaction design highlights the critical role of the human body and its movement. Various studies have explored the importance of bodily awareness (Hummels, 2007) and have further encouraged de-signers to cultivate subjective bodily skills (Schiphorst, 2011) to support and enhance design practices. These bodily considerations have led to methodological approaches, such as body storming (Schleicher, 2010), to a more holistic approach like Soma Design (Höök, 2018), emphasising the importance of bodily understanding. This paper examines the characteristics of experienced bodily movers and their potential contributions to the design ideation process. We also explore how these characteristics can be integrated into design practice. A case study of a design ideation session with four designers and four experienced movers is presented, analysing their contributions and skills.",embodied interaction; tangible interaction; somaesthetics; somatic ideation; body-storming
2024,Icaro Ibanez- Arricivita; Alethea L. Blackler; Maria A. Woodruff; Levi Swann; Abigail Winter,A Co-Design Approach to Aesthetic Customization of Prosthetics,https://dl.designresearchsociety.org/cgi/viewcontent.cgi?article=3403&context=drs-conference-papers,"The symbolism of prosthetic limbs has predominantly been about restoring function. However, for prosthetic wearers, symbolism expands to include psychosocial meaning, which has been expressed in prosthetic customizations, collaborations, and artistic explorations. Therefore, an opportunity exists for designers to understand how psychosocial symbolism can be elicited and translated into pros-thetic visual and aesthetic language. The objective of the paper is to develop personalized prosthetics that reflect the principles and convictions of the individuals utilizing them. We conducted a co-design process with three Paralympian amputees to explore and visually represent the psychosocial meanings attached to their prosthetics. The results demonstrate how a collaborative process incorporating design process methods, including mood board creation and concept sketching, can elicit psychosocial meaning, which can then be applied to design. The process shows the potential that design can have for reimagining prosthetic limbs as symbolic objects for purposes of self-expression and advocacy.",co-design; prosthetics; psychosocial; paralympian
2024,Massimo Botta; Antonella Autuori; Ginevra Terenghi; Matteo Subet,A Design-Stage-Oriented Framework to Introduce Artificial Intelligence and Machine Learning in Design Education,https://dl.designresearchsociety.org/cgi/viewcontent.cgi?article=3264&context=drs-conference-papers,"Artificial Intelligence (AI) and Machine Learning (ML) are technologies that impact the skills and practices of the next generation of designers, presenting the chance to reimagine 21st-century design education. Having a structured knowledge that stands as a multidisciplinary reference for design education is still a challenging aspect of this re-imagination. The paper presents a design-stage-oriented framework for introducing AI and ML into design education. The framework structures taxonomies of AI tools, data types performed by these systems, AI capabilities and the stages of a design process. It leads to an interactive user workflow, serving as a foundational component that enables teachers and students to explore the broad possibilities of co-design with AI tools. The paper discusses the potential impact and implications of the framework on design education and the initial validation in a workshop involving multidisciplinary teachers and students.",design education; design-ai taxonomies; artificial intelligence; design process
2024,Madison Sabatelli,A Designer’s Lexicon: An Ethnographic Exploration of Language in Design Practice,https://dl.designresearchsociety.org/cgi/viewcontent.cgi?article=3247&context=drs-conference-papers,"Although a visual language often takes precedence as the main communicator in design, text can act as a fundamental medium of developing ideas. Writing not only has similar capabilities as sketching in order to externalize concepts, but also when developing cognitive thinking and communicate with others. Using instructional, social and reflective lenses, this ethnographic study catalogues and analyzes examples of written language present across several design studios at The Ohio State University. Artifacts presented include writing prompted by design instructors, written interactions between peers and student self-awareness delivered through reflective writing. Acting as a purveyor of language, writing serves a method for understanding how students develop a sense of professional practice, communicate with others in the field and build a sense of self as emerging designers.",design language; design writing; design education; ethnography
2024,James Self,A Distributed Approach to Design Sketching,https://dl.designresearchsociety.org/cgi/viewcontent.cgi?article=3148&context=drs-conference-papers,"There has been much work towards understanding design sketching, its role and utility for design thinking. However, there remains little explanatory theory to structure our discussion of sketching and its importance. Drawing upon reflective practice as design paradigm and adopting a distributed theory of mind, I position sketching as distribution of design thinking. I provide an operational definition of the design sketch as particular type of design representation that includes sketch as articulation of future solution opportunities, variation in the expression of design intent through representational ambiguity, and the sketch as iconic representation. I locate the design sketch through a distributed lens to better illustrate its relation to design thinking in practice. The article contributes as framework and thesis argument for a distributed approach to understand design thinking through sketching. The paper concludes by providing a theoretical foundation and departure point for future studies of distributed design thinking through sketching.",design sketching; design thinking; distributed design cognition
2024,Annemiek van der Wal; JanWillem Hoftijzer; Martijn Haans,A framework for the agency of sketching,https://dl.designresearchsociety.org/cgi/viewcontent.cgi?article=3374&context=drs-conference-papers,"Previous scholars have advocated the significant value of sketching in design process-es. This paper first explores how design sketching functions as an agent for design, building on insights derived from both theory and practice. Interviews with professional designers in the field reaffirm the functions and importance of sketching. Not only for designers themselves, but also for their clients and consumers. Given the value of sketching and the variety of stakeholders involved, this paper then aims to structure the affordances of design sketching in a practical framework. Considering that af-fordances must be discoverable and perceivable in order to be effective, this paper subsequently proposes ideas for transforming the framework into a tool that will help designers to discover design sketching and unlock its benefits.",design drawing; visualization; affordances; agency
2024,Liuqing Chen; Yiyan Tsang; Qianzhi Jing; Lingyun Sun,A LLM-augmented Morphological Analysis Approach for Conceptual Design,https://dl.designresearchsociety.org/cgi/viewcontent.cgi?article=3287&context=drs-conference-papers,"Morphological analysis is often used in the conceptual design process because it provides a structured and systematic approach to decompose design problems, improving the completeness and diversity of creative solutions. However, it still relies heavily on designers' professional knowledge and experience when decomposing design problems and proposing solutions, which is a challenge for designers. In this study, we propose an LLMs-augmented morphological analysis approach for conceptual design. We refine the design process as three main stages: decomposition, generation, and combination, offering targeted guidance and support to designers when applying morphological analysis. In addition, we introduced a feedback mechanism to develop more appropriate solutions to specific problems. Experimental results show that our approach improves the quality of innovative conceptual designs and reduces cognitive load. Furthermore, it augments the interactive experience between the designer and LLMs.",large language models; conceptual design; morphological analysis; human-ai co-creation
2024,Fernando Carvalho; Val Mitchell; Gyuchan Thomas Jun,A participatory approach to healthcare service improvement focused on staff behavior change,https://dl.designresearchsociety.org/cgi/viewcontent.cgi?article=3497&context=drs-conference-papers,"Healthcare systems are complex social systems wherein improvements related to staff practice and behavior can be difficult to implement. Knowledge and practice can be uneven between various specializations, hierarchical imbalances limit the degree of agency of different professionals, and evidence-based guidelines may be interpreted or implemented according to context-specific factors. When changes are imposed from a top-down perspective, invaluable insight and know-how from frontline staff are usually left out, making it further difficult (if not altogether impractical) to implement interventions. The current paper presents a case study focused on improving urinary tract infection diagnosis and treatment, in the emergency department of a hospital within the National Health Service of England. The empirical research addresses identified gaps in the literature by proposing an original framework for healthcare staff practice and behavior change that integrates participatory design and behavior change methods.",healthcare service improvement; participatory design; behavior change
2024,Stefan Junk; Julia Glubrecht,A Review of the Integration of Additive Manufacturing in Design Education,https://dl.designresearchsociety.org/cgi/viewcontent.cgi?article=3163&context=drs-conference-papers,"The modern world of design is one of constant change and technological progress. One emerging technology that has the potential to revolutionize the design is additive manufacturing. This innovative technology challenges existing manufacturing processes to reflect and enable the efficient production of complex and customized objects through reimagination. Design education for additive manufacturing plays a crucial role in educating future designers to resist the adherence to conventional processes and to promote the recovery of innovative thinking. Therefore, it is significant to explore the integration of this emerging technology in academic education and identify the associated chances and challenges to ensure effective knowledge transfer to students. This paper explores how the integration of additive manufacturing into design education is being implemented in the fields of design and architecture worldwide. Thus, the courses offered in academic curricula in universities and by libraries are analyzed and the expected benefits are determined.",design education; additive manufacturing; curriculum
